# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_forensic_gated_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.03*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318326648 params_trainable=15021176
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
0,1.9e-06,1.8182005,1.3262573,0.49194324,0.71184322,1.5008337,1.5230777,1.5001245,0.69086951,0.10205973,0.8159201,0.74796745,0.16772274,0.27106982,0.16965714,0.90939976,0.5885995,,,,,,
1,2.8e-06,1.6404132,1.1941777,0.44623546,0.68457993,1.3239219,1.4644317,1.3382421,0.59484597,0.085223024,0.75043214,0.66769583,0.37270557,0.49842945,0.38420048,0.92527377,0.85248361,,,,,,
2,3.7e-06,1.6095812,1.1862326,0.42334862,0.65523103,1.209407,1.3746867,1.2805728,0.56615761,0.078029958,0.75676578,0.67341774,0.40446492,0.54332523,0.42813419,0.89283581,0.89674171,,,,,,
3,4.6e-06,1.5678657,1.1660678,0.40179782,0.62043087,1.1889598,1.2391017,1.2156684,0.54039835,0.078642239,0.75110652,0.66482913,0.45175465,0.59461568,0.47147979,0.91385617,0.92060905,,,,,,
4,5.5e-06,1.5569174,1.1870259,0.36989147,0.57607003,0.7990069,1.1599972,1.187671,0.52941281,0.073456508,0.7733723,0.68964362,0.44228118,0.58825127,0.46276428,0.91507685,0.92610106,,,,,,
5,6.4e-06,1.4530411,1.1264973,0.32654379,0.52966832,0.5520005,0.97198719,1.0840866,0.49366046,0.075945554,0.73853879,0.64868212,0.51214817,0.65443953,0.53968194,0.9059058,0.94141531,,,,,,
6,7.3e-06,1.3753944,1.0843568,0.29103758,0.48256506,0.48728642,0.60195131,1.0017911,0.46885517,0.075001375,0.71394397,0.62367503,0.54408111,0.67643296,0.57122967,0.91600774,0.94374239,,,,,,
7,8.2e-06,1.3588135,1.0880777,0.27073579,0.42847866,0.41960209,0.52716444,0.95546444,0.44523505,0.067690679,0.72784763,0.63729448,0.56104578,0.70106362,0.59045306,0.9220039,0.95268951,,,,,,
8,9.1e-06,1.318705,1.0660949,0.25261009,0.37759197,0.42310162,0.52703989,0.88942307,0.42671781,0.067389753,0.71671299,0.62957279,0.55924413,0.68844977,0.59467865,0.89393284,0.95306304,,,,,,
9,1e-05,1.2286768,1.006,0.22267685,0.3287606,0.38113502,0.483376,0.78121378,0.39498036,0.069826085,0.68076765,0.58634115,0.60407801,0.73365755,0.63292001,0.92083124,0.95537666,1.1422575,0.67657925,0.79198818,0.70864143,0.93460671,0.96999463
10,9.9999773e-06,1.1880862,0.98645351,0.20163274,0.28294027,0.34999838,0.44212134,0.71287575,0.36234701,0.067796372,0.67802973,0.5854041,0.62094812,0.74596118,0.64772884,0.92028907,0.9633409,,,,,,
11,9.9999094e-06,1.1450186,0.96203559,0.18298305,0.24521094,0.33122868,0.42733351,0.64540257,0.33446342,0.070187256,0.66939001,0.57442883,0.63190036,0.7586432,0.66123347,0.91936622,0.9666245,,,,,,
12,9.9997961e-06,1.1041782,0.93377718,0.17040104,0.21730527,0.335659,0.42595274,0.5955449,0.31404674,0.07151697,0.65406032,0.5598297,0.62815835,0.75507146,0.65895464,0.9213409,0.96556271,,,,,,
13,9.9996375e-06,1.0054644,0.85886874,0.14659566,0.19679558,0.30243183,0.39402414,0.49986893,0.28246458,0.073773404,0.60557618,0.50497128,0.6722359,0.79431229,0.70478643,0.93269154,0.96675063,,,,,,
14,9.9994336e-06,0.97587114,0.83625619,0.13961495,0.17784302,0.3184133,0.40575427,0.46868675,0.26678166,0.073286599,0.59325007,0.49311152,0.66579685,0.78492163,0.69905998,0.92218135,0.96731317,,,,,,
15,9.9991844e-06,0.97342806,0.84045834,0.13296972,0.1568728,0.30375482,0.38740585,0.45236261,0.24622835,0.066358473,0.60613445,0.5062797,0.66261821,0.78281426,0.69328355,0.92273894,0.97045552,,,,,,
16,9.9988898e-06,0.93904724,0.81468758,0.12435966,0.13982728,0.29187466,0.38178391,0.4216484,0.22546652,0.06338106,0.59331186,0.49567651,0.67688435,0.7877868,0.70513981,0.92157849,0.97455571,,,,,,
17,9.99855e-06,0.82680651,0.71859455,0.10821196,0.13845039,0.26197537,0.34904009,0.35398473,0.19564196,0.067654782,0.52519955,0.42712904,0.72021372,0.82916561,0.75577271,0.93564224,0.97424364,,,,,,
18,9.9981649e-06,0.82427389,0.71800148,0.10627241,0.12509719,0.26665663,0.34701627,0.35009686,0.18195948,0.06333544,0.53087141,0.4332501,0.70683983,0.81720777,0.74520251,0.92280513,0.97633332,,,,,,
19,9.9977344e-06,0.83306131,0.72218666,0.11087464,0.11885322,0.29085015,0.38146791,0.36501387,0.17786829,0.063636958,0.53568038,0.44013297,0.6814383,0.7953947,0.71846041,0.91347721,0.97556341,0.76753124,0.7321731,0.8341639,0.77105396,0.92886759,0.97833389
20,9.9972587e-06,0.69092619,0.59515774,0.095768447,0.11865752,0.26457893,0.34838666,0.30111074,0.15360712,0.068556601,0.43778623,0.35142229,0.72794081,0.82649561,0.76713316,0.91698082,0.97725807,,,,,,
21,9.9967377e-06,0.66354434,0.57624122,0.087303125,0.10821535,0.23766509,0.31629366,0.27554762,0.13713944,0.060425042,0.43045163,0.34078053,0.7473813,0.84557456,0.78598167,0.92614934,0.97890043,,,,,,
22,9.9961714e-06,0.68806675,0.59223463,0.095832126,0.10367245,0.26996325,0.35469969,0.30662863,0.14125962,0.058711187,0.44156844,0.3561485,0.71682303,0.81993747,0.75818466,0.911625,0.97768121,,,,,,
