# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.1*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318244502 params_trainable=14939030
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
0,1.9e-06,2.0166626,1.4010341,0.61562849,0.65407008,1.5578099,1.5535357,1.584887,0.70890552,0.093014612,0.86873062,0.81949269,0.08392178,0.15099257,0.09020218,0.5911363,0.50735569,,,,,,
1,2.8e-06,1.9857166,1.3780129,0.6077037,0.65085905,1.509493,1.5444276,1.5635018,0.69394884,0.092017123,0.85646665,0.80384642,0.12075301,0.2074285,0.12554675,0.78830857,0.55122976,,,,,,
2,3.7e-06,1.9409283,1.3408124,0.60011591,0.64629041,1.4433351,1.5352964,1.5489523,0.66757504,0.088015451,0.83821022,0.77806173,0.16986956,0.26988178,0.17216962,0.91885939,0.63909135,,,,,,
3,4.6e-06,1.8778218,1.2927032,0.58511852,0.64381839,1.3440014,1.5117129,1.5118266,0.64011196,0.089719135,0.81131275,0.73938326,0.21500237,0.33446422,0.21892959,0.91397547,0.73925074,,,,,,
4,5.5e-06,1.8056151,1.2435088,0.56210638,0.6452872,1.2504335,1.4736345,1.4384627,0.60939751,0.084246654,0.78429489,0.7093907,0.31236498,0.43022481,0.31724127,0.94343589,0.81319216,,,,,,
5,6.4e-06,1.7755929,1.2285271,0.54706575,0.64233232,1.20907,1.4215981,1.401096,0.59554741,0.087553514,0.77795347,0.69833454,0.32364362,0.45898205,0.33506855,0.91460128,0.84446454,,,,,,
6,7.3e-06,1.7694312,1.2315429,0.53788835,0.63424016,1.1909545,1.3731523,1.3880069,0.58579772,0.081720108,0.7852088,0.7058859,0.34211235,0.47711294,0.35332216,0.89328064,0.8707408,,,,,,
7,8.2e-06,1.7515467,1.2222128,0.52933383,0.62423964,1.1807264,1.3503734,1.364181,0.57238182,0.076737963,0.78404461,0.70233295,0.36112614,0.50301936,0.37471634,0.90895772,0.88942887,,,,,,
8,9.1e-06,1.7201079,1.1995126,0.52059528,0.61347783,1.1975087,1.330593,1.3315637,0.574387,0.080308325,0.76347815,0.68397346,0.39330855,0.52490165,0.41412669,0.86382042,0.88941553,,,,,,
9,1e-05,1.6981214,1.1885226,0.50959881,0.60277846,1.1841412,1.2891433,1.3059978,0.56306856,0.076259931,0.75966628,0.67941533,0.39390808,0.52903737,0.42148247,0.84811213,0.88737596,1.7024364,0.32939184,0.47563974,0.35029957,0.8998413,0.86924205
10,9.9999773e-06,1.757476,1.251585,0.50589096,0.59259108,1.0905768,1.2021375,1.3594463,0.57973006,0.072956902,0.80438376,0.73196349,0.32754753,0.46319454,0.346375,0.86065794,0.88410006,,,,,,
11,9.9999094e-06,1.606309,1.151974,0.45433498,0.58365447,0.78958307,1.0929085,1.2359976,0.53531535,0.078848193,0.74118848,0.65650336,0.43694547,0.58277079,0.4630008,0.89650676,0.903642,,,,,,
12,9.9997961e-06,1.6313062,1.1832115,0.44809469,0.57313689,0.6385356,1.0906404,1.2489509,0.53187409,0.071580405,0.76923549,0.68650973,0.42762086,0.57571502,0.44484581,0.91608835,0.91680223,,,,,,
13,9.9996375e-06,1.6753503,1.2238846,0.45146573,0.56457553,0.63575525,1.0592236,1.2864902,0.54764369,0.069881258,0.79590145,0.7183953,0.38227301,0.52508323,0.39618384,0.88058384,0.90823115,,,,,,
14,9.9994336e-06,1.5507203,1.1311066,0.41961369,0.55660607,0.61022322,0.98241219,1.1760035,0.51355606,0.077543949,0.73309994,0.64798499,0.4651731,0.60997175,0.50069051,0.88937077,0.91896157,,,,,,
15,9.9991844e-06,1.6006059,1.1743384,0.42626751,0.54922149,0.6653234,0.94497533,1.2179083,0.53483368,0.076108813,0.75969883,0.67903224,0.42329972,0.56441431,0.45194679,0.88479256,0.90777508,,,,,,
16,9.9988898e-06,1.5138973,1.1200262,0.39387101,0.54021535,0.5590707,0.84240882,1.1382753,0.50470299,0.076365252,0.72796924,0.64125349,0.49464796,0.62795263,0.51501576,0.88932454,0.92469869,,,,,,
17,9.99855e-06,1.5042527,1.126505,0.37774772,0.53242533,0.51156665,0.73176421,1.1287521,0.49452873,0.072531312,0.73861116,0.64874872,0.5073759,0.65200436,0.52371029,0.92223559,0.93705131,,,,,,
18,9.9981649e-06,1.5266022,1.1489759,0.37762628,0.52667501,0.54289148,0.67881874,1.1496616,0.50297765,0.071171686,0.75311505,0.66848133,0.47468885,0.61588892,0.49397967,0.91729912,0.92754351,,,,,,
19,9.9977344e-06,1.4673369,1.1005784,0.36675847,0.51882767,0.5094123,0.70745537,1.0932977,0.4915267,0.077650611,0.71800726,0.62580116,0.51005789,0.65769231,0.53603967,0.91407159,0.92659615,1.4836191,0.50504254,0.6546484,0.52222889,0.95246342,0.93612662
