# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.1*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318311063 params_trainable=15005591
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
0,1.9e-06,1.912771,1.3222867,0.59048427,0.64937899,1.4320873,1.4889802,1.5252198,0.66467743,0.095688904,0.82370024,0.75947227,0.18286278,0.28989297,0.18680677,0.85896034,0.64907844,,,,,,
1,2.8e-06,1.7247299,1.1987255,0.52600442,0.63964386,1.2347661,1.2647878,1.3691147,0.58156378,0.083954394,0.75933528,0.68007584,0.37282643,0.49705044,0.38478527,0.91444258,0.85631447,,,,,,
2,3.7e-06,1.6621427,1.1906396,0.47150316,0.6116661,1.1871034,0.88394253,1.3129356,0.55705831,0.077372705,0.76390552,0.68299499,0.40436458,0.54519992,0.4273668,0.8737134,0.90351329,,,,,,
3,4.6e-06,1.5834991,1.1734446,0.4100545,0.57977813,0.73132254,0.64998353,1.252561,0.53711039,0.077567957,0.75834953,0.67452359,0.43293413,0.57605527,0.45344135,0.9032616,0.91477316,,,,,,
4,5.5e-06,1.5748242,1.1883341,0.38649017,0.54658981,0.55589175,0.60344644,1.2184598,0.52267116,0.071922685,0.77725527,0.69477412,0.43020385,0.57893264,0.44820727,0.91831394,0.92385633,,,,,,
5,6.4e-06,1.4869297,1.1327267,0.35420302,0.50898179,0.49099197,0.56094178,1.1133053,0.49041604,0.07483803,0.74493523,0.65678855,0.49099998,0.63636372,0.51426668,0.91331593,0.93543739,,,,,,
6,7.3e-06,1.4146541,1.089037,0.32561705,0.46780062,0.43418616,0.52087589,1.0252004,0.46470033,0.074491505,0.71939616,0.63058482,0.53239378,0.66605758,0.55490337,0.91801837,0.9414861,,,,,,
7,8.2e-06,1.397564,1.093417,0.30414697,0.42631622,0.38289275,0.46444032,0.97963335,0.44363736,0.06787756,0.73280098,0.64307866,0.5469631,0.68783286,0.57009166,0.93136075,0.94875646,,,,,,
8,9.1e-06,1.3588317,1.0701855,0.28864617,0.38284259,0.41232066,0.46971974,0.91386947,0.42412148,0.067789482,0.72095883,0.63498748,0.54886857,0.67669266,0.57786025,0.88563685,0.95058016,,,,,,
9,1e-05,1.2645525,1.010311,0.25424152,0.3408275,0.3572513,0.4084774,0.80724229,0.39117078,0.068961439,0.68597478,0.59203311,0.59718979,0.72993768,0.62459823,0.92676191,0.95490239,1.136127,0.6715327,0.78863137,0.69703326,0.9453604,0.9641238
10,9.9999773e-06,1.2163365,0.98737998,0.2289565,0.29747955,0.31790798,0.35878494,0.73717324,0.35909177,0.067136954,0.68024535,0.587591,0.63059983,0.75560169,0.65624338,0.92832066,0.96337004,,,,,,
11,9.9999094e-06,1.1826426,0.96772639,0.21491621,0.26010391,0.33122253,0.36247932,0.68048376,0.33428482,0.070096624,0.67404345,0.58013019,0.62228634,0.7488838,0.65193246,0.91312456,0.96532112,,,,,,
12,9.9997961e-06,1.1411927,0.93900468,0.20218797,0.23090602,0.33105823,0.36414064,0.63065197,0.31556033,0.071246677,0.6577386,0.56399452,0.61610343,0.74345814,0.64351295,0.91820758,0.9637664,,,,,,
13,9.9996375e-06,1.04218,0.8663304,0.17584955,0.20939444,0.2983617,0.32707017,0.53642501,0.28499218,0.073329719,0.61070046,0.51067192,0.66587375,0.78879633,0.69808567,0.92896453,0.96421242,,,,,,
14,9.9994336e-06,1.0047895,0.83896637,0.16582316,0.18878103,0.30513091,0.33281627,0.49203439,0.26231899,0.072172974,0.59744207,0.49769429,0.66822563,0.78727631,0.7010907,0.92523428,0.96798283,,,,,,
15,9.9991844e-06,0.99910858,0.84132713,0.15778145,0.16603199,0.29411074,0.31888996,0.47291856,0.24280449,0.065372694,0.60840187,0.50858553,0.66636981,0.78514498,0.69663165,0.92764982,0.97129104,,,,,,
16,9.9988898e-06,0.97316216,0.82199159,0.15117057,0.14782103,0.29147776,0.31835215,0.44989681,0.22471304,0.063038701,0.59972326,0.50227997,0.66639698,0.78070811,0.69441869,0.91811873,0.97292107,,,,,,
17,9.99855e-06,0.85393352,0.72396708,0.12996644,0.14656746,0.25561377,0.28123039,0.37202983,0.19731452,0.06732545,0.52911308,0.43048958,0.71195442,0.82235534,0.74400692,0.9361217,0.97312364,,,,,,
18,9.9981649e-06,0.8528373,0.72468476,0.12815254,0.13013024,0.26342894,0.28918815,0.36524627,0.1812761,0.063161679,0.53683192,0.43870266,0.70092123,0.8119493,0.73681289,0.92412276,0.97560221,,,,,,
19,9.9977344e-06,0.85901373,0.72703831,0.13197543,0.12362676,0.27902755,0.30792559,0.37434406,0.1776356,0.063426454,0.54004506,0.44330739,0.67540227,0.79230383,0.70772391,0.92392166,0.97515144,0.77847765,0.69458758,0.79314102,0.72578491,0.93626982,0.95521719
20,9.9972587e-06,0.71747325,0.60270069,0.11477256,0.12180325,0.2576087,0.28133955,0.3078892,0.15240766,0.068466875,0.4448483,0.35689265,0.72278621,0.82338513,0.75829918,0.92478497,0.97650607,,,,,,
21,9.9967377e-06,0.677517,0.57771684,0.099800162,0.10872483,0.21547485,0.23989845,0.27082045,0.1333574,0.060303892,0.43368095,0.34155805,0.75723437,0.8549358,0.79209293,0.9388839,0.97977371,,,,,,
22,9.9961714e-06,0.71251799,0.59741168,0.11510631,0.10610848,0.26549919,0.28939785,0.31140358,0.1367983,0.059332368,0.4477994,0.36156638,0.71422221,0.81641437,0.75434197,0.90988617,0.9781455,,,,,,
23,9.9955599e-06,0.63330297,0.52791229,0.10539068,0.10461693,0.2434033,0.27279339,0.2773974,0.12211888,0.060711837,0.39473244,0.31506819,0.74297345,0.8397251,0.79002887,0.91364511,0.97825281,,,,,,
