# model=B23TFCUCCMFGMLiteModel tfcu=ccm_lite lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318243477 params_trainable=14444213
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
0,1.9e-06,1.8774147,1.4108446,0.46657018,0.74014929,1.551598,1.5748767,0.76101181,0.10577255,0.85427116,0.80100809,0.099350323,0.17549177,0.10427573,0.72809892,0.45021747,,,,,,
1,2.8e-06,1.8363228,1.3761066,0.46021628,0.73623416,1.505946,1.5564778,0.73352115,0.10617282,0.83749935,0.77960363,0.1284782,0.21682754,0.1326138,0.83462067,0.51308255,,,,,,
2,3.7e-06,1.7471283,1.3009731,0.44615517,0.73320806,1.436066,1.5051553,0.68159372,0.095677314,0.80021829,0.72803189,0.20320456,0.31205614,0.20605455,0.93927805,0.65679119,,,,,,
3,4.6e-06,1.7039103,1.2742875,0.42962284,0.72669688,1.343449,1.4489034,0.66219046,0.092392742,0.7871414,0.71095964,0.24662954,0.3677287,0.25366184,0.91866194,0.75227701,,,,,,
4,5.5e-06,1.6325225,1.2241857,0.40833676,0.71881904,1.2496156,1.3698703,0.6224209,0.085819321,0.76374503,0.68178673,0.32657501,0.4485353,0.3366877,0.93376261,0.82109307,,,,,,
5,6.4e-06,1.6468992,1.2447354,0.40216386,0.7086709,1.2005699,1.3563413,0.62468115,0.087743266,0.77959711,0.69818093,0.33784136,0.47464679,0.35078156,0.87298897,0.85459782,,,,,,
6,7.3e-06,1.6310153,1.2364586,0.3945567,0.69839683,1.1983552,1.3239962,0.61500021,0.083891218,0.77683767,0.6976859,0.34886911,0.48449745,0.37297449,0.88251502,0.86396055,,,,,,
7,8.2e-06,1.5869003,1.2047139,0.38218639,0.68913431,1.1880824,1.2693441,0.58558878,0.079901694,0.76429004,0.67822092,0.40091552,0.54022969,0.4160526,0.89890737,0.89155161,,,,,,
8,9.1e-06,1.5947195,1.2123714,0.38234814,0.67986583,1.1899204,1.2743276,0.5993775,0.084609201,0.76318889,0.6840119,0.39341959,0.5216584,0.42428969,0.84239131,0.88176883,,,,,,
9,1e-05,1.5463067,1.1772719,0.36903477,0.66745418,1.1498947,1.2239731,0.57509522,0.079874269,0.74510301,0.66320082,0.4318126,0.57028569,0.4732844,0.85374339,0.90023191,1.4717166,0.54017349,0.6723797,0.6301011,0.81971157,0.94622008
10,9.9999773e-06,1.5928099,1.2309242,0.36188571,0.65239994,0.87294469,1.2649924,0.57573863,0.072593205,0.78966875,0.71248551,0.3901796,0.53567532,0.4231314,0.86905239,0.91242393,,,,,,
11,9.9999094e-06,1.451348,1.1266296,0.32471836,0.64275966,0.63484705,1.1435002,0.53093518,0.078497033,0.72228737,0.63550041,0.497969,0.64755545,0.5491744,0.88264672,0.92544335,,,,,,
12,9.9997961e-06,1.5187724,1.1873072,0.33146514,0.62920835,0.59532752,1.1938896,0.54621057,0.072656252,0.76672211,0.68290693,0.45316477,0.59647433,0.47829989,0.90144847,0.92474661,,,,,,
13,9.9996375e-06,1.587867,1.2444357,0.34343132,0.61689079,0.62979928,1.2512614,0.57084884,0.07158207,0.80345777,0.72408094,0.39184482,0.53588998,0.4099765,0.89457526,0.91957582,,,,,,
14,9.9994336e-06,1.461705,1.1459244,0.3157806,0.60430997,0.57246075,1.1336328,0.52757094,0.077620849,0.74030719,0.6509432,0.50313116,0.65038012,0.53241153,0.90873289,0.93487902,,,,,,
