# model=B23TFCUCCMFGMLiteModel tfcu=ccm_tfcu_unravel lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=0.9*bce + 0.08*boundary + 0.02*temporal_consistency aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=312018924 params_trainable=7884989
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_bce_loss,train_boundary_loss,train_temporal_consistency_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean
0,1.9e-06,0.63173308,0.63173308,0,0.69197118,0.098866192,0.052486872,,,,,,,,,,,,,0.0010000048,0.32982052,0.29921715,0.37096234,0.25,0.095584738,0.16457469,0.10916498,0.50576901,0.56331606,,,,,,,,,,,,,,,,,,,,,,,
1,2.8e-06,0.60824802,0.60824802,0,0.66575267,0.09990299,0.053919678,,,,,,,,,,,,,0.0010000355,0.31956723,0.30430818,0.37612459,0.25,0.14271499,0.23441491,0.15007672,0.72531473,0.63376346,,,,,,,,,,,,,,,,,,,,,,,
2,3.7e-06,0.57439625,0.57439625,0,0.62871598,0.094357393,0.05016478,,,,,,,,,,,,,0.0010000944,0.33282181,0.29418258,0.37299561,0.25,0.25404122,0.36651414,0.266581,0.86691023,0.75621163,,,,,,,,,,,,,,,,,,,,,,,
3,4.6e-06,0.55413694,0.55413694,0,0.60697178,0.086342732,0.047746201,,,,,,,,,,,,,0.0010001691,0.31712123,0.29335359,0.38952518,0.25,0.30046179,0.43334158,0.3230175,0.8547657,0.83643441,,,,,,,,,,,,,,,,,,,,,,,
4,5.5e-06,0.52077967,0.52077967,0,0.5705799,0.08109973,0.038489846,,,,,,,,,,,,,0.001000227,0.32959942,0.3009044,0.36949618,0.25,0.40691629,0.53840677,0.42576584,0.89681865,0.89801243,,,,,,,,,,,,,,,,,,,,,,,
5,6.4e-06,0.50867916,0.50867916,0,0.55718804,0.080322536,0.039206834,,,,,,,,,,,,,0.0010002853,0.32171845,0.29646705,0.3818145,0.25,0.43923297,0.58528723,0.47420311,0.84508315,0.92082087,,,,,,,,,,,,,,,,,,,,,,,
6,7.3e-06,0.50045113,0.50045113,0,0.54812826,0.079839587,0.037427297,,,,,,,,,,,,,0.0010003792,0.32492615,0.29092515,0.3841487,0.25,0.44234539,0.58933195,0.49187005,0.83396825,0.92529432,,,,,,,,,,,,,,,,,,,,,,,
7,8.2e-06,0.47440896,0.47440896,0,0.51989316,0.07322291,0.032364773,,,,,,,,,,,,,0.0010004067,0.32343896,0.30233835,0.37422269,0.25,0.52148647,0.66872079,0.58118349,0.86381514,0.94683833,,,,,,,,,,,,,,,,,,,,,,,
8,9.1e-06,0.48906804,0.48906804,0,0.53570792,0.07731655,0.037279631,,,,,,,,,,,,,0.0010003843,0.31521915,0.28614858,0.39863227,0.25,0.47808897,0.61315155,0.55107256,0.77163355,0.92850614,,,,,,,,,,,,,,,,,,,,,,,
9,1e-05,0.48439316,0.48439316,0,0.53040043,0.076813306,0.044386173,,,,,,,,,,,,,0.0010004391,0.32072581,0.31160574,0.36766845,0.25,0.47040435,0.60850745,0.56914977,0.72301566,0.92254424,0.47866063,0.48957757,0.62757068,0.55342542,0.81612522,0.95317357,,,,,,,,,,,,,0.0010004861,0.31719588,0.30509067,0.37771345,0.25
10,9.9999773e-06,0.4755234,0.4755234,0,0.52143475,0.069384313,0.034069414,,,,,,,,,,,,,0.0010005118,0.32889899,0.2967648,0.37433621,0.25,0.4860387,0.6310642,0.55810574,0.80516532,0.94420872,,,,,,,,,,,,,,,,,,,,,,,
11,9.9999094e-06,0.46417283,0.46417283,0,0.50840268,0.073633711,0.03598683,,,,,,,,,,,,,0.0010005798,0.31655681,0.3005438,0.38289939,0.25,0.5298202,0.66886952,0.63951776,0.74313644,0.94378432,,,,,,,,,,,,,,,,,,,,,,,
12,9.9997961e-06,0.45526486,0.45526486,0,0.49877233,0.070865748,0.035026072,,,,,,,,,,,,,0.0010006869,0.31068546,0.304006,0.38530854,0.25,0.54338927,0.68915843,0.63133345,0.82788922,0.95408953,,,,,,,,,,,,,,,,,,,,,,,
13,9.9996375e-06,0.47088714,0.47088714,0,0.51643938,0.068365817,0.03112257,,,,,,,,,,,,,0.0010008973,0.30481594,0.29467777,0.4005063,0.25,0.47751711,0.62458534,0.53530915,0.8039936,0.94994136,,,,,,,,,,,,,,,,,,,,,,,
14,9.9994336e-06,0.44243962,0.44243962,0,0.48397515,0.0773023,0.03389038,,,,,,,,,,,,,0.0010011469,0.30835177,0.29150559,0.40014263,0.25,0.59851621,0.73225655,0.6896301,0.82580213,0.9571599,,,,,,,,,,,,,,,,,,,,,,,
15,9.9991844e-06,0.44864863,0.44864863,0,0.49172795,0.067631268,0.034149491,,,,,,,,,,,,,0.001001384,0.31430129,0.30142079,0.38427792,0.25,0.54595611,0.68419031,0.65076235,0.77397731,0.95531303,,,,,,,,,,,,,,,,,,,,,,,
16,9.9988898e-06,0.43277361,0.43277361,0,0.47338439,0.075791813,0.033216445,,,,,,,,,,,,,0.0010016251,0.32101987,0.30226603,0.3767141,0.25,0.59794003,0.73452921,0.71816262,0.78842894,0.95867505,,,,,,,,,,,,,,,,,,,,,,,
17,9.99855e-06,0.42928197,0.42928197,0,0.46982703,0.07307971,0.029564309,,,,,,,,,,,,,0.001001951,0.28895927,0.28291116,0.42812958,0.25,0.62344461,0.75442633,0.72341505,0.82136887,0.96068319,,,,,,,,,,,,,,,,,,,,,,,
18,9.9981649e-06,0.4358249,0.4358249,0,0.47740753,0.068830555,0.032584787,,,,,,,,,,,,,0.0010023106,0.2935887,0.2829181,0.42349321,0.25,0.56458101,0.7005756,0.66885264,0.78266023,0.96071111,,,,,,,,,,,,,,,,,,,,,,,
19,9.9977344e-06,0.424312,0.424312,0,0.46438331,0.072742602,0.027381082,,,,,,,,,,,,,0.0010026238,0.30630393,0.30004942,0.39364665,0.25,0.63669824,0.76443426,0.71442851,0.85075474,0.96739629,0.42305405,0.59062447,0.7181835,0.68343625,0.8026921,0.97096451,,,,,,,,,,,,,0.001002802,0.28633313,0.28287045,0.4307964,0.25
20,9.9972587e-06,0.43136475,0.43136475,0,0.47215334,0.072349639,0.031939249,,,,,,,,,,,,,0.0010030376,0.3022312,0.28366405,0.41410474,0.25,0.58414158,0.72051055,0.6920258,0.79007414,0.96004952,,,,,,,,,,,,,,,,,,,,,,,
21,9.9967377e-06,0.43375966,0.43375966,0,0.47558315,0.063240272,0.033780679,,,,,,,,,,,,,0.0010033739,0.29018279,0.28884089,0.42097631,0.25,0.55196377,0.68387257,0.6380922,0.78413085,0.96050307,,,,,,,,,,,,,,,,,,,,,,,
22,9.9961714e-06,0.4171818,0.4171818,0,0.45647452,0.071698495,0.030943365,,,,,,,,,,,,,0.0010037144,0.29604586,0.28668051,0.41727363,0.25,0.61639451,0.74664879,0.71182196,0.81223028,0.96252322,,,,,,,,,,,,,,,,,,,,,,,
23,9.9955599e-06,0.42218813,0.42218813,0,0.46199566,0.071915484,0.031940623,,,,,,,,,,,,,0.0010040287,0.29038253,0.28794086,0.42167662,0.25,0.59239124,0.72137172,0.68476802,0.81735143,0.96139642,,,,,,,,,,,,,,,,,,,,,,,
24,9.994903e-06,0.40794873,0.40794873,0,0.44601482,0.073210021,0.033930158,,,,,,,,,,,,,0.0010043576,0.28045176,0.26920487,0.45034337,0.25,0.64532657,0.77609578,0.76945094,0.81367321,0.96183451,,,,,,,,,,,,,,,,,,,,,,,
25,9.9942009e-06,0.41729324,0.41729324,0,0.45694185,0.067999991,0.030279576,,,,,,,,,,,,,0.0010046433,0.2960388,0.29507984,0.40888135,0.25,0.60567732,0.72779351,0.6803378,0.82778539,0.96211228,,,,,,,,,,,,,,,,,,,,,,,
26,9.9934536e-06,0.41739243,0.41739243,0,0.45694332,0.069028376,0.031058904,,,,,,,,,,,,,0.0010050099,0.27522198,0.30881904,0.41595898,0.25,0.57049938,0.70217089,0.65225049,0.81223229,0.96388316,,,,,,,,,,,,,,,,,,,,,,,
27,9.992661e-06,0.40529006,0.40529006,0,0.44336486,0.069484158,0.035148128,,,,,,,,,,,,,0.0010054755,0.29686602,0.29219549,0.41093849,0.25,0.63201362,0.75846086,0.73435571,0.83130911,0.96053279,,,,,,,,,,,,,,,,,,,,,,,
28,9.9918231e-06,0.40130891,0.40130891,0,0.43893151,0.071547009,0.027340136,,,,,,,,,,,,,0.0010058477,0.30262107,0.28196652,0.41541241,0.25,0.63775545,0.75778375,0.72088601,0.82665882,0.96971602,,,,,,,,,,,,,,,,,,,,,,,
29,9.99094e-06,0.39693475,0.39693475,0,0.43433124,0.067463288,0.031979446,,,,,,,,,,,,,0.0010062456,0.29425305,0.28518528,0.42056167,0.25,0.6607063,0.78739618,0.77083338,0.83815418,0.96368786,0.40445325,0.62018665,0.7455116,0.67846349,0.86267891,0.97145624,,,,,,,,,,,,,0.001006415,0.29183164,0.29086321,0.41730514,0.25
30,9.9900117e-06,0.39483692,0.39483692,0,0.43182039,0.070175889,0.029225345,,,,,,,,,,,,,0.0010065672,0.2902415,0.27115324,0.43860525,0.25,0.64893078,0.7695369,0.74432727,0.81632084,0.97037392,,,,,,,,,,,,,,,,,,,,,,,
31,9.9890382e-06,0.39698614,0.39698614,0,0.43407229,0.070305551,0.034832378,,,,,,,,,,,,,0.0010069144,0.3083439,0.28397663,0.40767947,0.25,0.6334029,0.75101212,0.74387397,0.78888889,0.9597871,,,,,,,,,,,,,,,,,,,,,,,
32,9.9880195e-06,0.38779478,0.38779478,0,0.42368813,0.072001942,0.035766098,,,,,,,,,,,,,0.001007276,0.30310614,0.27813501,0.41875885,0.25,0.64981041,0.76952065,0.74792211,0.80662856,0.96831969,,,,,,,,,,,,,,,,,,,,,,,
33,9.9869556e-06,0.39858935,0.39858935,0,0.43564751,0.072445221,0.035549547,,,,,,,,,,,,,0.0010076156,0.27640271,0.30310046,0.42049682,0.25,0.60740193,0.73923916,0.72750499,0.7814551,0.96104757,,,,,,,,,,,,,,,,,,,,,,,
34,9.9858465e-06,0.39125226,0.39125226,0,0.42790244,0.068434683,0.033265163,,,,,,,,,,,,,0.0010079308,0.30250293,0.28277247,0.4147246,0.25,0.62188219,0.74247945,0.71016729,0.7921158,0.97098858,,,,,,,,,,,,,,,,,,,,,,,
35,9.9846922e-06,0.39334367,0.39334367,0,0.42957221,0.07553789,0.034283203,,,,,,,,,,,,,0.0010082597,0.299438,0.30374015,0.39682184,0.25,0.60148566,0.73007356,0.6973386,0.78584276,0.9660172,,,,,,,,,,,,,,,,,,,,,,,
36,9.9834928e-06,0.38090255,0.38090255,0,0.41674473,0.066362893,0.026163483,,,,,,,,,,,,,0.001008525,0.2987988,0.29884717,0.40235403,0.25,0.65404437,0.77364784,0.72768033,0.85893648,0.97386173,,,,,,,,,,,,,,,,,,,,,,,
37,9.9822482e-06,0.37724892,0.37724892,0,0.41262963,0.065985614,0.030170796,,,,,,,,,,,,,0.0010088485,0.30361677,0.28696549,0.40941774,0.25,0.66593497,0.78375452,0.76042952,0.83506119,0.9738136,,,,,,,,,,,,,,,,,,,,,,,
38,9.9809585e-06,0.37609894,0.37609894,0,0.41125553,0.067554863,0.028229418,,,,,,,,,,,,,0.0010090957,0.30509203,0.30562503,0.38928294,0.25,0.6748881,0.79489866,0.76779268,0.84571149,0.97224207,,,,,,,,,,,,,,,,,,,,,,,
39,9.9796237e-06,0.37621213,0.37621213,0,0.41129924,0.068190392,0.029379977,,,,,,,,,,,,,0.0010092785,0.29856537,0.31544168,0.38599295,0.25,0.65131586,0.7728383,0.74273113,0.8267358,0.9735144,0.3663421,0.65467679,0.77102423,0.76879963,0.80466057,0.97772929,,,,,,,,,,,,,0.0010093949,0.2992447,0.30731819,0.3934371,0.25
40,9.9782437e-06,0.36808239,0.36808239,0,0.40207658,0.069907698,0.03104311,,,,,,,,,,,,,0.0010094871,0.30901584,0.3098524,0.38113176,0.25,0.67222101,0.78738797,0.75158131,0.85233927,0.97407947,,,,,,,,,,,,,,,,,,,,,,,
41,9.9768187e-06,0.37315519,0.37315519,0,0.40797463,0.066504446,0.032883699,,,,,,,,,,,,,0.0010098336,0.29814879,0.30114877,0.40070244,0.25,0.64755306,0.76128878,0.76280031,0.77706724,0.96900274,,,,,,,,,,,,,,,,,,,,,,,
