epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_bce_loss,train_dice_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_local_attention_entropy,train_local_attention_max,train_local_candidate_count,train_local_delta_ratio,train_local_neighborhood_disabled,train_local_per_layer,train_local_spatial_radius,train_local_temporal_radius,train_relay_absorb_attention_max,train_relay_attention_entropy,train_relay_delta_ratio,train_relay_inject_attention_max,train_relay_token_norm,train_temporal_output_std,train_temporal_relay_disabled,val_loss,val_main_loss,val_aux_loss,val_aux_boundary128_loss,val_bce_loss,val_dice_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_local_attention_entropy,val_local_attention_max,val_local_candidate_count,val_local_delta_ratio,val_local_neighborhood_disabled,val_local_per_layer,val_local_spatial_radius,val_local_temporal_radius,val_relay_absorb_attention_max,val_relay_attention_entropy,val_relay_delta_ratio,val_relay_inject_attention_max,val_relay_token_norm,val_temporal_output_std,val_temporal_relay_disabled
0,1.1e-05,2.2505928,1.4874908,0.76310201,0.76310201,0.61575281,0.87173798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061288979,0.11310026,0.079405953,0.26145654,0.69985829,3.0345446,0.27057232,27,0.19252263,0,1,1,1,0.006302187,2.2898555,0.58445484,0.58838209,27.586146,0.99998711,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e-05,2.181582,1.4327346,0.74884744,0.74884744,0.58317105,0.84956353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16241833,0.26968673,0.17521343,0.67062572,0.74955068,3.0342547,0.26141222,27,0.19382757,0,1,1,1,0.0056643473,2.291927,0.58752355,0.58475391,27.603529,0.99999366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.9998773e-05,2.0304708,1.2882761,0.74219459,0.74219459,0.52353941,0.76473673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33521693,0.46158111,0.34108377,0.91269424,0.84595113,3.0346988,0.2786627,27,0.19363185,0,1,1,1,0.005616257,2.2933463,0.62477932,0.57428621,29.414091,1.0000168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.9995091e-05,1.9809014,1.2820358,0.69886556,0.69886556,0.49360782,0.78842798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36197382,0.50413523,0.38050008,0.87275943,0.90253464,3.0346023,0.28144904,27,0.19608753,0,1,1,1,0.0065695383,2.2904877,0.68985699,0.57445857,31.392897,1.0000131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.1e-05,2.2523401,1.4887468,0.76359324,0.76359324,0.61736255,0.87138431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056776188,0.10537731,0.075051735,0.23822891,0.6999326,3.0348777,0.27034533,27,0.1925462,0,1,1,1,0.0065434707,2.2895795,0.58177278,0.58904551,27.632618,0.99998791,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e-05,2.1871562,1.4344977,0.7526584,0.7526584,0.58425281,0.85024493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16404381,0.27257184,0.17605337,0.67609566,0.7507992,3.0340712,0.26552224,27,0.19412846,0,1,1,1,0.0056419111,2.2916167,0.58622428,0.58478661,27.690138,0.99999712,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.9998773e-05,2.036465,1.2960861,0.74037892,0.74037892,0.53053957,0.76554652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32732464,0.45014277,0.33229921,0.88119894,0.83460998,3.0345853,0.2775022,27,0.19288184,0,1,1,1,0.005672537,2.2930986,0.62542849,0.5721181,29.636799,1.0000264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.9995091e-05,1.9820158,1.2843214,0.69769448,0.69769448,0.4942742,0.79004718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36911096,0.5095488,0.3860898,0.87218068,0.90148956,3.0346354,0.27735921,27,0.19590987,0,1,1,1,0.00675206,2.2894306,0.68824272,0.57185128,31.829563,1.0000256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.1e-05,2.2398175,1.4815712,0.75824628,0.75824628,0.6108515,0.87071971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063879014,0.11704128,0.083132613,0.25752422,0.71182082,3.0344375,0.27926416,27,0.19235572,0,1,1,1,0.0062261187,2.2892675,0.58679996,0.58677938,27.572753,0.99998843,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e-05,2.1817781,1.4321899,0.74958824,0.74958824,0.58213764,0.85005221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16222513,0.2691466,0.17395758,0.67092263,0.75003255,3.0341686,0.26314452,27,0.1943471,0,1,1,1,0.0053605764,2.2919299,0.58369521,0.58356269,27.650894,0.99999667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
