epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_temporal_encoder_enabled,train_ttf_enabled,train_ttf_patch_count,train_ttf_temporal_len,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_temporal_encoder_enabled,val_ttf_enabled,val_ttf_patch_count,val_ttf_temporal_len
339,7.75e-06,0.10287868,0.10287868,,,,,,,,,,,,,,,,,,,0.018504842,6.8911816e-05,0.10287868,0.10105659,,0.022813253,0.17929993,,0.036441779,0.05,0.77329186,0.86835473,0.84080949,0.90235117,0.98162485,1,1,1024,4,0.10329833,0.10329833,,,,,,,,,,,,,,,,,,,0.018445875,5.5388293e-05,0.10329833,0.1018745,,0.024927827,0.17882118,,0.02847663,0.05,0.78581297,0.86888946,0.87827481,0.87805382,0.98329789,1,1,1024,4
340,7.7376219e-06,0.11519244,0.11519244,,,,,,,,,,,,,,,,,,,0.01830953,6.4175059e-05,0.11519244,0.11362619,,0.02081224,0.20644013,,0.031325092,0.05,0.76403682,0.85438794,0.83616545,0.87686746,0.98483123,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,7.7252212e-06,0.10747368,0.10747368,,,,,,,,,,,,,,,,,,,0.018157959,5.8582666e-05,0.10747368,0.10595674,,0.019423291,0.1924902,,0.030338783,0.05,0.76178779,0.86011337,0.82704717,0.90143994,0.98414083,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,7.7127982e-06,0.098273183,0.098273183,,,,,,,,,,,,,,,,,,,0.01817627,5.8362563e-05,0.098273183,0.096609492,,0.021184863,0.17203412,,0.033273827,0.05,0.77763081,0.870821,0.84009658,0.90839011,0.98242182,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,7.7003528e-06,0.09427032,0.09427032,,,,,,,,,,,,,,,,,,,0.018188477,6.1822081e-05,0.09427032,0.092619353,,0.019408712,0.16582999,,0.033019349,0.05,0.79453811,0.88291813,0.85318205,0.91681114,0.98337483,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,7.6878853e-06,0.10942771,0.10942771,,,,,,,,,,,,,,,,,,,0.018157959,5.92476e-05,0.10942771,0.10760129,,0.022516325,0.19268626,,0.036528343,0.05,0.7877648,0.87601975,0.84909072,0.90701114,0.98185486,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,7.6753958e-06,0.095993342,0.095993342,,,,,,,,,,,,,,,,,,,0.018233236,6.418085e-05,0.095993342,0.094238719,,0.020096356,0.16838108,,0.035092452,0.05,0.78590716,0.87708564,0.85247187,0.90534502,0.98244131,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,7.6628843e-06,0.10028819,0.10028819,,,,,,,,,,,,,,,,,,,0.018229167,6.0865968e-05,0.10028819,0.098618639,,0.018709216,0.17852806,,0.033390931,0.05,0.79143077,0.87872595,0.84688343,0.91716868,0.98306626,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,7.6503511e-06,0.10495861,0.10495861,,,,,,,,,,,,,,,,,,,0.018146769,5.8390206e-05,0.10495861,0.10320131,,0.021171588,0.18523103,,0.035145997,0.05,0.77590177,0.86679332,0.83559019,0.90532574,0.98228159,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,7.6377962e-06,0.098727052,0.098727052,,,,,,,,,,,,,,,,,,,0.0181427,5.8793654e-05,0.098727052,0.097088427,,0.018329173,0.17584768,,0.032772501,0.05,0.80053223,0.88514431,0.86378149,0.91004939,0.98398933,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,7.6252198e-06,0.11095773,0.11095773,,,,,,,,,,,,,,,,,,,0.01822408,5.5936658e-05,0.11095773,0.10946498,,0.018958244,0.19997172,,0.029854975,0.05,0.76591169,0.86043164,0.83063082,0.89968,0.98481131,1,1,1024,4,0.096524561,0.096524561,,,,,,,,,,,,,,,,,,,0.018359017,4.9904313e-05,0.096524561,0.095131551,,0.022164136,0.16809897,,0.027860194,0.05,0.78795943,0.86960219,0.84623634,0.91363458,0.98357018,1,1,1024,4
350,7.612622e-06,0.10276128,0.10276128,,,,,,,,,,,,,,,,,,,0.018440755,6.126406e-05,0.10276128,0.10133314,,0.018022376,0.18464391,,0.028562738,0.05,0.77516026,0.86941788,0.83890503,0.90688357,0.98606482,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,7.600003e-06,0.11298433,0.11298433,,,,,,,,,,,,,,,,,,,0.018504842,6.3762036e-05,0.11298433,0.1112601,,0.022027214,0.20049298,,0.034484646,0.05,0.75535893,0.85421378,0.81591266,0.90550168,0.98184276,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,7.5873627e-06,0.10180401,0.10180401,,,,,,,,,,,,,,,,,,,0.018470256,6.374849e-05,0.10180401,0.10007943,,0.020223772,0.1799351,,0.034491523,0.05,0.77205429,0.86860571,0.8401875,0.90071825,0.9834455,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,7.5747015e-06,0.10207368,0.10207368,,,,,,,,,,,,,,,,,,,0.018345133,5.9347898e-05,0.10207368,0.10043926,,0.019852848,0.18102567,,0.032688325,0.05,0.78509202,0.87510827,0.85099115,0.9018667,0.98384275,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,7.5620193e-06,0.098549039,0.098549039,,,,,,,,,,,,,,,,,,,0.018201701,5.5860452e-05,0.098549039,0.096920326,,0.019537774,0.17430288,,0.032574254,0.05,0.77478981,0.86989474,0.84370337,0.89878556,0.98396084,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,7.5493164e-06,0.10222666,0.10222666,,,,,,,,,,,,,,,,,,,0.018326823,5.7026857e-05,0.10222666,0.10060698,,0.019575992,0.18163797,,0.0323936,0.05,0.78133879,0.87289468,0.83948042,0.91180173,0.98413629,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,7.5365929e-06,0.089069026,0.089069026,,,,,,,,,,,,,,,,,,,0.018464152,6.6087585e-05,0.089069026,0.087557722,,0.018145319,0.15697013,,0.030226054,0.05,0.80814917,0.88900167,0.86964696,0.91013766,0.98493351,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,7.5238489e-06,0.091004271,0.091004271,,,,,,,,,,,,,,,,,,,0.018528239,6.6096099e-05,0.091004271,0.089206888,,0.019929945,0.15848383,,0.035947663,0.05,0.79182462,0.88027482,0.85511775,0.90895438,0.98280539,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,7.5110844e-06,0.090998652,0.090998652,,,,,,,,,,,,,,,,,,,0.018479411,5.9802408e-05,0.090998652,0.089259411,,0.019941395,0.15857743,,0.03478481,0.05,0.79720411,0.88387726,0.8634775,0.90632685,0.98336465,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
