epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_temporal_encoder_enabled,train_ttf_enabled,train_ttf_patch_count,train_ttf_temporal_len,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_temporal_encoder_enabled,val_ttf_enabled,val_ttf_patch_count,val_ttf_temporal_len
0,1.9e-06,1.6320028,1.6320028,,,,,,,,,,,,,,,,,,,0.010017395,1.0868572e-11,1.6320028,,0.63962009,,0.86072148,0.6583063,,,0.10183442,0.17725847,0.11928383,0.42994438,0.67604294,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.8e-06,1.5944932,1.5944932,,,,,,,,,,,,,,,,,,,0.010102844,8.4475788e-11,1.5944932,,0.61844719,,0.84455829,0.65743831,,,0.17606693,0.28427674,0.18997788,0.73885879,0.72623607,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.7e-06,1.5260117,1.5260117,,,,,,,,,,,,,,,,,,,0.010310872,4.8928659e-10,1.5260117,,0.58393906,,0.8116678,0.65202435,,,0.26950285,0.39005955,0.2798433,0.86027911,0.79453057,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.6e-06,1.4765795,1.4765795,,,,,,,,,,,,,,,,,,,0.010654704,3.163045e-09,1.4765795,,0.56017763,,0.78988134,0.63260279,,,0.32518214,0.45793299,0.34107962,0.87502899,0.84797243,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.5e-06,1.4422367,1.4422367,,,,,,,,,,,,,,,,,,,0.011125183,1.6487016e-08,1.4422367,,0.5347997,,0.78584182,0.60797581,,,0.38255731,0.51628505,0.39826503,0.91011426,0.89163043,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.4e-06,1.4274346,1.4274346,,,,,,,,,,,,,,,,,,,0.011753337,7.4909816e-08,1.4274346,,0.53032161,,0.78063813,0.58237407,,,0.39797739,0.54347898,0.42690672,0.84835228,0.90273988,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.3e-06,1.4200677,1.4200677,,,,,,,,,,,,,,,,,,,0.012520345,3.6285468e-07,1.4200677,,0.52200643,,0.78331537,0.57372924,,,0.40412135,0.54727212,0.43426182,0.84126596,0.90894722,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.2e-06,1.3626054,1.3626054,,,,,,,,,,,,,,,,,,,0.013340251,1.3415601e-06,1.3626054,,0.4929714,,0.75756237,0.56035831,,,0.49281948,0.63491816,0.52185912,0.89423704,0.93319067,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.1e-06,1.3797933,1.3797933,,,,,,,,,,,,,,,,,,,0.014279175,4.3044654e-06,1.3797933,,0.50550093,,0.76439774,0.54947309,,,0.44453752,0.58177784,0.48868244,0.83346505,0.91860618,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1e-05,1.3606223,1.3606223,,,,,,,,,,,,,,,,,,,0.015392049,1.5151017e-05,1.3606223,,0.49773424,,0.75524775,0.53820138,,,0.45279298,0.59476332,0.50298286,0.83602503,0.92026827,1,1,1024,4,1.3086496,1.3086496,,,,,,,,,,,,,,,,,,,0.015996244,2.1974298e-05,1.3086496,,0.46086494,,0.74485563,0.51464523,,,0.53244342,0.67185885,0.6051392,0.85565614,0.94698902,1,1,1024,4
