epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_query_alpha,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_query_alpha
0,1.9e-06,1.5840221,1.5840221,,,,,,,,,,,,,,,,,,,,,1.5840221,,0.71497928,,0.86904279,0,,,0.082883302,0.15108917,0.087264532,0.66544905,0.4556373,1,-2.8939566e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.8e-06,1.5664957,1.5664957,,,,,,,,,,,,,,,,,,,,,1.5664957,,0.70365495,,0.86284074,0,,,0.10214714,0.18149095,0.10540377,0.77541462,0.49129279,1,-0.00012377621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.7e-06,1.5284788,1.5284788,,,,,,,,,,,,,,,,,,,,,1.5284788,,0.68610432,,0.84237449,0,,,0.13758596,0.23353535,0.13972086,0.87410516,0.53995616,1,-0.00029215414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.6e-06,1.5136323,1.5136323,,,,,,,,,,,,,,,,,,,,,1.5136323,,0.67225269,,0.84137962,0,,,0.13968213,0.23836062,0.14081487,0.9225881,0.58525413,1,-0.00054884252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.5e-06,1.4365596,1.4365596,,,,,,,,,,,,,,,,,,,,,1.4365596,,0.63201771,,0.80454184,0,,,0.21589121,0.33791216,0.21748013,0.959405,0.69144363,1,-0.00090679935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.4e-06,1.4278593,1.4278593,,,,,,,,,,,,,,,,,,,,,1.4278593,,0.62858928,,0.79926995,0,,,0.22945576,0.35632642,0.23832972,0.90811174,0.74542217,1,-0.0013493928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.3e-06,1.4284102,1.4284102,,,,,,,,,,,,,,,,,,,,,1.4284102,,0.62090447,,0.80750572,0,,,0.2532129,0.38403542,0.25739141,0.93383029,0.79641708,1,-0.0018334615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.2e-06,1.395573,1.395573,,,,,,,,,,,,,,,,,,,,,1.395573,,0.59421563,,0.80135735,0,,,0.30066601,0.43877273,0.30918078,0.89320205,0.84389073,1,-0.0021617369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.1e-06,1.348059,1.348059,,,,,,,,,,,,,,,,,,,,,1.348059,,0.56875945,,0.77929957,0,,,0.38080856,0.52683628,0.40598379,0.8874732,0.88022051,1,-0.0024887939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1e-05,1.3471886,1.3471886,,,,,,,,,,,,,,,,,,,,,1.3471886,,0.56710744,,0.78008112,0,,,0.38410124,0.52628348,0.40694614,0.88408097,0.88255113,1,-0.0028535058,1.3432439,1.3432439,,,,,,,,,,,,,,,,,,,,,1.3432439,,0.55845778,,0.78478616,0,,,0.37062435,0.50320871,0.3814859,0.92840694,0.89443423,1,-0.0029773184
