epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
0,4e-06,1.0126291,1.0126291,,,,,,,,,,,,,,,,,,,,,1.0126291,,0.27615849,,0.61611078,0.74545878,0.52661891,0.73958342,0.71147258,0.2,,,0.32104555,0.42130719,0.48013682,0.4556149,0.93655459,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6e-06,0.7562209,0.7562209,,,,,,,,,,,,,,,,,,,,,0.7562209,,0.21385659,,0.40010578,0.72136632,0.25622263,0.53433052,0.56619188,0.4,,,0.51872986,0.64449122,0.66819626,0.67717441,0.95645954,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8e-06,0.77100456,0.77100456,,,,,,,,,,,,,,,,,,,,,0.77100456,,0.22285898,,0.3842989,0.68758089,0.17852731,0.47989425,0.36505829,0.6,,,0.52507146,0.65359479,0.67202345,0.68182388,0.9563811,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1e-05,0.69638756,0.69638756,,,,,,,,,,,,,,,,,,,,,0.69638756,,0.16862946,,0.34342139,0.6468755,0.13860518,0.45219238,0.2550381,0.8,,,0.56908247,0.69657476,0.68362233,0.74037444,0.96130284,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.2e-05,0.74833425,0.74833425,,,,,,,,,,,,,,,,,,,,,0.74833425,,0.16937366,,0.36799032,0.60076136,0.12134428,0.44879988,0.19777895,1,,,0.54242978,0.67298637,0.64535136,0.74120902,0.9592005,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.4e-05,0.71541077,0.71541077,,,,,,,,,,,,,,,,,,,,,0.71541077,,0.16861892,,0.33751926,0.55256924,0.12485267,0.44512324,0.21302701,1,,,0.56810165,0.69855106,0.68823848,0.74196286,0.96276278,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.6e-05,0.68444912,0.68444912,,,,,,,,,,,,,,,,,,,,,0.68444912,,0.15166938,,0.33100697,0.49379362,0.11796216,0.43494247,0.22423393,1,,,0.58834382,0.70900925,0.68778812,0.75556551,0.96278906,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.8e-05,0.62106375,0.62106375,,,,,,,,,,,,,,,,,,,,,0.62106375,,0.14966204,,0.28825993,0.43022102,0.1132557,0.38971099,0.21481427,1,,,0.61992448,0.74382364,0.72340118,0.78853168,0.96632091,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2e-05,0.68189988,0.68189988,,,,,,,,,,,,,,,,,,,,,0.68189988,,0.16079791,,0.32924934,0.38060242,0.11999282,0.42242255,0.20195769,1,,,0.58220817,0.70167343,0.69675524,0.73987705,0.96423811,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2e-05,0.62927585,0.62927585,,,,,,,,,,,,,,,,,,,,,0.62927585,,0.14484907,,0.29961062,0.33291366,0.1171699,0.40512711,0.2296274,1,,,0.61248524,0.73126432,0.70518231,0.78390022,0.96408032,1,1,0.86882343,0.86882343,,,,,,,,,,,,,,,,,,,,,0.86882343,,0.26188779,,0.40172702,0.28072581,0.14314976,0.47397104,0.1207214,1,,,0.51871523,0.64353339,0.79119575,0.64277837,0.9482028,1,1
