# model=B23VideoMTWindowModel tfcu=videomt_window_final lora_rank=32 input_size= num_clips=1 num_frames=5
# loss=videomt_query_mask + 1*query_mask aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=309258322 params_trainable=6104146
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
40,1.9435471e-05,0.40079647,0.40079647,,,,,,,,,,,,,,,,,,,,,0.40079647,,0.089774293,,0.2053355,0.10635103,0.053745887,0.27928033,0.0092250145,1,,,0.70662262,0.81648655,0.79583473,0.84611201,0.9779898,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.941723e-05,0.38969199,0.38969199,,,,,,,,,,,,,,,,,,,,,0.38969199,,0.085699489,,0.20477116,0.098954094,0.051130827,0.26101919,0.012572601,1,,,0.70640619,0.81550601,0.79395116,0.84931232,0.97921017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.9398988e-05,0.36807866,0.36807866,,,,,,,,,,,,,,,,,,,,,0.36807866,,0.079827043,,0.19072063,0.093995598,0.05012167,0.25752129,0.01076635,1,,,0.7194384,0.82914022,0.79757133,0.87105778,0.9802106,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.9380743e-05,0.38836119,0.38836119,,,,,,,,,,,,,,,,,,,,,0.38836119,,0.086762466,,0.19858845,0.10086854,0.052871071,0.27254183,0.0068593245,1,,,0.71600584,0.82249378,0.79638329,0.85604414,0.97821585,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.9362497e-05,0.34328433,0.34328433,,,,,,,,,,,,,,,,,,,,,0.34328433,,0.085702619,,0.16717172,0.10262697,0.053069527,0.2293958,0.010780797,1,,,0.75116298,0.85164007,0.82962295,0.88080382,0.97828003,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.9344248e-05,0.36726724,0.36726724,,,,,,,,,,,,,,,,,,,,,0.36726724,,0.093698449,,0.1748874,0.10747069,0.05783308,0.2517944,0.0083920494,1,,,0.741961,0.84468478,0.81867853,0.87672956,0.97672192,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.9325998e-05,0.3726848,0.3726848,,,,,,,,,,,,,,,,,,,,,0.3726848,,0.082197877,,0.18954941,0.097854577,0.049447194,0.26901757,0.010106952,1,,,0.72965135,0.8317873,0.81106955,0.86268974,0.97961136,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.9307746e-05,0.38723716,0.38723716,,,,,,,,,,,,,,,,,,,,,0.38723716,,0.088598455,,0.19666612,0.10276375,0.053658893,0.26785911,0.0075796563,1,,,0.72143093,0.8255338,0.80090384,0.85906049,0.97796868,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.9289492e-05,0.36707229,0.36707229,,,,,,,,,,,,,,,,,,,,,0.36707229,,0.083712928,,0.1893939,0.097031115,0.050012061,0.24535078,0.010100977,1,,,0.72996181,0.8303581,0.80632855,0.86178817,0.9797775,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.9271236e-05,0.31463919,0.31463919,,,,,,,,,,,,,,,,,,,,,0.31463919,,0.077008807,,0.15201886,0.095985266,0.047957615,0.22034602,0.0064232319,1,,,0.7747154,0.86603423,0.84496036,0.89321898,0.98098167,1,1,0.61634622,0.61634622,,,,,,,,,,,,,,,,,,,,,0.61634622,,0.20881135,,0.26953713,0.13376279,0.1129791,0.32420614,0.0030802808,1,,,0.63513308,0.75411623,0.79604309,0.76126376,0.96884891,1,1
