# model=B24DINOv3IMLCCMVideoModel tfcu=ccm_predecoder lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss= aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0003 params_total=313582978 params_trainable=10428802
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
0,8.4e-05,5.2431826,5.2431826,,2.901674,2.3415087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12056199,0.20542931,0.13700085,0.5526899,0.68809751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000138,4.9765529,4.9765529,,2.9052369,2.0713159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13060413,0.21912714,0.14943319,0.53325309,0.69101834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.000192,3.7932808,3.7932808,,2.2152478,1.5780331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16319052,0.26334704,0.17900231,0.63199325,0.73558869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.000246,3.3248119,3.3248119,,2.0535563,1.2712556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17146372,0.27990775,0.1975406,0.63568428,0.7570406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0003,2.4397189,2.4397189,,1.6583238,0.78139502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2221583,0.33741793,0.24736954,0.64911865,0.82128952,3.4424634,3.4424634,,2.622541,0.81992241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23055224,0.35551196,0.27381048,0.68064534,0.82607809
5,0.00029991826,2.3326472,2.3326472,,1.6121958,0.72045141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20329316,0.32243555,0.23418191,0.6202577,0.82074734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8.4e-05,5.3568001,5.3568001,,3.0545468,2.3022533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12930215,0.21757104,0.14608366,0.57619582,0.6983019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000138,5.073189,5.073189,,2.9284216,2.1447674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12275623,0.20676364,0.14200929,0.50643286,0.68296316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.000192,3.9569882,3.9569882,,2.3162721,1.6407161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16677953,0.26876095,0.18447863,0.65983059,0.7346476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.000246,3.4817768,3.4817768,,2.1676354,1.3141414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16128535,0.26255699,0.18429137,0.60963918,0.75109899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0003,2.82282,2.82282,,1.8741892,0.94863082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21872602,0.33439316,0.23995536,0.7048511,0.80497762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.00029999699,2.8041679,2.8041679,,1.9577054,0.84646255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20217553,0.32063349,0.22917378,0.63774995,0.80639935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00029998796,2.2473957,2.2473957,,1.4682096,0.77918602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16645163,0.26775612,0.20696659,0.50903702,0.80842476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0002999729,1.7374556,1.7374556,,1.249798,0.48765767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26191868,0.39603296,0.30710536,0.66963403,0.86326649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.00029995183,1.3061546,1.3061546,,0.99939473,0.30675984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29187692,0.43575718,0.36185662,0.60199667,0.89617027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.00029992473,1.1052952,1.1052952,,0.82213911,0.28315608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34636188,0.48696445,0.41909582,0.67803454,0.89513326,1.1654501,1.1654501,,0.96787985,0.19757029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40481042,0.54514114,0.50404136,0.70436794,0.92164898
10,0.00029989162,0.87921089,0.87921089,,0.70411084,0.17510006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28902899,0.41846971,0.42489825,0.53290814,0.92615125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.00029985249,1.086716,1.086716,,0.86384205,0.22287396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3329824,0.45908167,0.38571929,0.69956349,0.9023646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.00029980734,0.93187196,0.93187196,,0.76398028,0.16789168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14935662,0.20585184,0.35716826,0.22847455,0.92982569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.00029975618,0.6472803,0.6472803,,0.50584005,0.14144024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39696362,0.55273599,0.4689011,0.81692465,0.93357371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.00029969901,0.66757489,0.66757489,,0.54896594,0.11860895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43963447,0.58563335,0.71965906,0.56770039,0.94762259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.00029963583,0.58339806,0.58339806,,0.47088715,0.1125109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49890783,0.64529123,0.64146808,0.79208513,0.95222182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00029956664,0.68991759,0.68991759,,0.57596196,0.11395564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28495274,0.40113026,0.82266635,0.31271317,0.93399479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00029949144,0.58172363,0.58172363,,0.48438806,0.097335565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65653474,0.78176114,0.7188199,0.88002214,0.96758905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00029941025,0.55363032,0.55363032,,0.46795331,0.085677013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62659199,0.76337541,0.80115768,0.75150557,0.97164051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00029932305,0.58241744,0.58241744,,0.49482062,0.087596828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7024504,0.81888282,0.78579595,0.86766814,0.97245519,0.67563134,0.67563134,,0.60018045,0.075450883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70005542,0.80806904,0.79917407,0.84466307,0.97485021
20,0.00029922986,0.59968499,0.59968499,,0.51311102,0.086573968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64838088,0.77264321,0.79039646,0.77979071,0.96945531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00029913069,0.53094709,0.53094709,,0.45850846,0.072438638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68136936,0.80178094,0.79832994,0.81437325,0.9762718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00029902552,0.57059922,0.57059922,,0.48922524,0.081373982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70588978,0.82241138,0.82464187,0.83261253,0.97363393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00029891437,0.56998133,0.56998133,,0.48843405,0.081547285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66594724,0.78736206,0.77681609,0.80648076,0.97268841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00029879724,0.57361407,0.57361407,,0.48579857,0.087815494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68709675,0.80317076,0.8116028,0.81530323,0.9697186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00029867414,0.51618741,0.51618741,,0.4464127,0.069774707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70373248,0.81976263,0.82551506,0.82783443,0.9772035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00029854508,0.54609337,0.54609337,,0.47735494,0.068738437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6578249,0.78376502,0.79856958,0.78722865,0.97611185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00029841004,0.56278546,0.56278546,,0.47262391,0.090161547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64026908,0.76410679,0.75630094,0.81502502,0.96707169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00029826906,0.55606653,0.55606653,,0.48892738,0.067139144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63840278,0.76395046,0.90138455,0.69052633,0.97414626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00029812211,0.50895967,0.50895967,,0.44634883,0.062610836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73855886,0.84404663,0.81236898,0.88558882,0.97841005,0.62948613,0.62948613,,0.57028408,0.059202052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73842527,0.8361488,0.83390474,0.85705762,0.97932914
30,0.00029796923,0.51708632,0.51708632,,0.45229901,0.064787313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71965732,0.83103476,0.86213434,0.80976039,0.9794609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0002978104,0.50131272,0.50131272,,0.43204983,0.069262884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72483726,0.83476618,0.80459922,0.8752967,0.97717435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00029764564,0.56691935,0.56691935,,0.49698219,0.069937166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71985343,0.82905527,0.85148555,0.81797371,0.97570813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00029747495,0.54288778,0.54288778,,0.47287538,0.070012402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69866598,0.81166681,0.80730102,0.82557644,0.97656269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00029729834,0.56052156,0.56052156,,0.48761845,0.072903114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65956586,0.78564519,0.81614986,0.7682023,0.97500376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00029711582,0.57006559,0.57006559,,0.50758539,0.062480198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69376071,0.81212952,0.82282105,0.80840676,0.97668663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00029692739,0.50688352,0.50688352,,0.45053398,0.056349538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73515225,0.84193214,0.83193402,0.85999558,0.98035125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00029673307,0.50096013,0.50096013,,0.4390178,0.061942336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70650457,0.82035169,0.81947651,0.82465159,0.97884531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00029653285,0.51619162,0.51619162,,0.45649632,0.0596953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76081045,0.85948884,0.87477024,0.84957223,0.98108286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00029632675,0.48901131,0.48901131,,0.43792993,0.051081389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73340167,0.84011087,0.8479515,0.84144399,0.98180427,0.61232302,0.61232302,,0.56066581,0.051657212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7568254,0.84981796,0.85870449,0.85625756,0.98091281
40,0.00029611478,0.51282004,0.51282004,,0.45245032,0.060369723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75864718,0.85832104,0.84452357,0.87679302,0.98001526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00029589694,0.43987355,0.43987355,,0.38868038,0.051193167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76587662,0.86015239,0.85682878,0.86922533,0.98250849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00029567325,0.50565745,0.50565745,,0.44862181,0.057035633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73390716,0.8412143,0.84667936,0.84005181,0.98003216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00029544371,0.49404481,0.49404481,,0.4376283,0.056416516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77119931,0.8666861,0.8448696,0.89542776,0.98155977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00029520833,0.4906439,0.4906439,,0.43830214,0.052341764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73625033,0.84244347,0.84464932,0.84833005,0.9806181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00029496712,0.54486171,0.54486171,,0.48849493,0.056366783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75429587,0.85448823,0.86999683,0.84445231,0.98000831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0002947201,0.48109392,0.48109392,,0.4288498,0.052244115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77105332,0.86683657,0.86702789,0.87115551,0.98124423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00029446726,0.49044917,0.49044917,,0.43955535,0.050893818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77279356,0.86635912,0.87634678,0.86040221,0.98239271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00029420862,0.52473776,0.52473776,,0.46505468,0.059683077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71575981,0.82596707,0.84430688,0.81388549,0.97917608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
