epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
0,8.4e-05,10.937322,10.937322,,,,,,,,,,,,,,,,,,,,,,,,,,1.3073971,,,,,,,0.077073378,0.13871933,0.077073378,1,0.077073378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000138,7.3375181,7.3375181,,,,,,,,,,,,,,,,,,,,,,,,,,0.88418138,,,,,,,0.066923051,0.11881232,0.068544551,0.65660212,0.36436701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.000192,6.1247073,6.1247073,,,,,,,,,,,,,,,,,,,,,,,,,,0.84020306,,,,,,,0,0,0,0,0.91786066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.000246,5.7378673,5.7378673,,,,,,,,,,,,,,,,,,,,,,,,,,0.73174081,,,,,,,0.051032353,0.089478614,0.051088885,0.46359918,0.63482203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0003,5.5408052,5.5408052,,,,,,,,,,,,,,,,,,,,,,,,,,0.70043337,,,,,,,0.13396697,0.22236998,0.27029724,0.74343893,0.55898616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.00029999699,5.1092438,5.1092438,,,,,,,,,,,,,,,,,,,,,,,,,,0.70835173,,,,,,,0.29223465,0.38710685,0.67876523,0.37705127,0.94475106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00029998796,4.8869,4.8869,,,,,,,,,,,,,,,,,,,,,,,,,,0.72067647,,,,,,,0.47353558,0.61176085,0.6951904,0.6134714,0.95697869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0002999729,4.6583124,4.6583124,,,,,,,,,,,,,,,,,,,,,,,,,,0.69946208,,,,,,,0.55422585,0.70253942,0.7715904,0.67424226,0.95963496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.00029995183,4.5802868,4.5802868,,,,,,,,,,,,,,,,,,,,,,,,,,0.69565334,,,,,,,0.51338712,0.66291151,0.69426613,0.69322924,0.9507146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8.4e-05,10.972189,10.972189,,,,,,,,,,,,,,,,,,,,,,,,,,1.3128703,,,,,,,0.077021922,0.13862952,0.077021922,1,0.077021922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000138,7.3353913,7.3353913,,,,,,,,,,,,,,,,,,,,,,,,,,0.88314976,,,,,,,0.066946249,0.11909113,0.068568996,0.66385718,0.36252571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.000192,6.1205236,6.1205236,,,,,,,,,,,,,,,,,,,,,,,,,,0.83907387,,,,,,,0,0,0,0,0.91786897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.000246,5.740281,5.740281,,,,,,,,,,,,,,,,,,,,,,,,,,0.73133226,,,,,,,0.049525305,0.08723748,0.049651337,0.46264127,0.62308345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0003,5.5562697,5.5562697,,,,,,,,,,,,,,,,,,,,,,,,,,0.70280089,,,,,,,0.14363451,0.23547128,0.26602831,0.74525864,0.56061201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.00029999699,5.1117001,5.1117001,,,,,,,,,,,,,,,,,,,,,,,,,,0.70873173,,,,,,,0.30374801,0.40617693,0.69715048,0.38960795,0.9459969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00029998796,4.8413675,4.8413675,,,,,,,,,,,,,,,,,,,,,,,,,,0.71223688,,,,,,,0.47468194,0.61748045,0.68966641,0.61521243,0.95808507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0002999729,4.6418119,4.6418119,,,,,,,,,,,,,,,,,,,,,,,,,,0.7009246,,,,,,,0.55594924,0.70302968,0.71975065,0.71589584,0.95722518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.00029995183,4.5903275,4.5903275,,,,,,,,,,,,,,,,,,,,,,,,,,0.71170793,,,,,,,0.52691817,0.66796612,0.65454097,0.73809428,0.950131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8.4e-05,10.980462,10.980462,,,,,,,,,,,,,,,,,,,,,,,,,,1.3126187,,,,,,,0.077040519,0.13866117,0.077040519,1,0.077040519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000138,7.3538519,7.3538519,,,,,,,,,,,,,,,,,,,,,,,,,,0.88540347,,,,,,,0.066843498,0.11867849,0.068430748,0.65606634,0.36487395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.000192,6.1118992,6.1118992,,,,,,,,,,,,,,,,,,,,,,,,,,0.83686138,,,,,,,0,0,0,0,0.91785033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.000246,5.7236572,5.7236572,,,,,,,,,,,,,,,,,,,,,,,,,,0.72969985,,,,,,,0.053058913,0.09277098,0.053126612,0.46136959,0.65267813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0003,5.505758,5.505758,,,,,,,,,,,,,,,,,,,,,,,,,,0.69879073,,,,,,,0.16234912,0.25150467,0.31902186,0.72485272,0.60023754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.00029999699,5.1411058,5.1411058,,,,,,,,,,,,,,,,,,,,,,,,,,0.71625176,,,,,,,0.27093831,0.35916505,0.68740673,0.37798291,0.94113299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00029998796,4.9386415,4.9386415,,,,,,,,,,,,,,,,,,,,,,,,,,0.7247478,,,,,,,0.46847706,0.61767929,0.65920971,0.65752361,0.94945728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
