epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
0,8.4e-05,5.2718172,5.2718172,,3.6208459,1.6509713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11559189,0.19868964,0.16327099,0.36426798,0.7941703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000138,4.6474715,4.6474715,,3.3893322,1.2581392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22206897,0.34175817,0.25949232,0.60517275,0.82012907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.000192,3.689363,3.689363,,2.7593667,0.92999631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18538893,0.28406659,0.23356459,0.44021472,0.8446182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.000246,3.045941,3.045941,,2.292673,0.75326801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22301559,0.34748029,0.28674425,0.58139662,0.86540752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0003,2.5338549,2.5338549,,1.9556433,0.57821159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27756112,0.40876046,0.34624079,0.5979048,0.88073824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.00029999699,2.3285482,2.3285482,,1.7674748,0.56107336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27206227,0.40397228,0.32957372,0.61760837,0.8755854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00029998796,1.7120496,1.7120496,,1.3736983,0.33835127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29378618,0.43769726,0.42214881,0.51138044,0.91125737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0002999729,1.3914722,1.3914722,,1.0944071,0.29706516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32142507,0.45488994,0.41825933,0.57068751,0.91016874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.00029995183,1.3055846,1.3055846,,1.0227093,0.28287525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34371323,0.48709664,0.46948653,0.6335095,0.90608273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.00029992473,1.0798994,1.0798994,,0.87456904,0.20533036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31541036,0.45487442,0.44599972,0.54277146,0.92037894,1.1677132,1.1677132,,0.98080626,0.18690694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20445937,0.3296793,0.52343548,0.30933049,0.91808927
10,0.00029989162,0.88720345,0.88720345,,0.70006114,0.18714231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30738386,0.45191606,0.4498024,0.56652782,0.92559826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.00029985249,0.78056659,0.78056659,,0.62665058,0.15391601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42945013,0.58684667,0.57491868,0.65371716,0.93158999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.00029980734,0.72748909,0.72748909,,0.59122786,0.13626123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2866683,0.40116012,0.50523406,0.47291986,0.93536473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.00029975618,0.59391084,0.59391084,,0.49906567,0.094845169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3927054,0.52382586,0.62670156,0.58664988,0.96012966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.00029969901,0.69304039,0.69304039,,0.57319096,0.11984944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53233674,0.68579583,0.74860369,0.67770999,0.95050582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.00029963583,0.59844797,0.59844797,,0.4887273,0.10972066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54518345,0.68615011,0.6639904,0.76256453,0.95909135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00029956664,0.65903861,0.65903861,,0.54162818,0.11741043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52772258,0.66516089,0.76193173,0.64378518,0.95231366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00029949144,0.61291723,0.61291723,,0.49569462,0.1172226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57207096,0.7078424,0.69289385,0.8076545,0.95206276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00029941025,0.62679974,0.62679974,,0.50878788,0.11801187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53857041,0.6796904,0.74713391,0.7082589,0.95541032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00029932305,0.65579557,0.65579557,,0.55336875,0.10242682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48095619,0.60795871,0.82873094,0.57327398,0.95391129,0.7232807,0.7232807,,0.64066817,0.082612534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66907248,0.78369961,0.70005352,0.93338455,0.96816082
20,0.00029922986,0.64107115,0.64107115,,0.54176072,0.099310431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6032762,0.73864424,0.64686162,0.88674657,0.96114952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00029913069,0.56236488,0.56236488,,0.46545287,0.096912013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52833327,0.66809427,0.82524363,0.59837493,0.96390154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00029902552,0.60118259,0.60118259,,0.50063428,0.10054831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67640586,0.80133099,0.80061945,0.81800272,0.96758009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00029891437,0.56259993,0.56259993,,0.48543618,0.077163757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67597539,0.79764072,0.81189129,0.79195355,0.97494738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00029879724,0.58503041,0.58503041,,0.49253653,0.092493882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66794705,0.78980854,0.78962501,0.81522237,0.96658847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
