# model=B31DINOv3IMLNoGateStABRMRVideoModel tfcu= lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss= aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0003 params_total=312610691 params_trainable=9456515
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
0,2.8e-05,4.9601583,4.9601583,,3.2701902,1.6899681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13681598,0.21896498,0.18852936,0.40164157,0.77440241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.6e-05,3.7141979,3.7141979,,3.103028,0.61116992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32129002,0.46540421,0.48918729,0.51049484,0.91361645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6.4e-05,2.634857,2.634857,,2.1777854,0.45707164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28905727,0.41155142,0.4638138,0.49861179,0.91857452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.2e-05,2.8146414,2.8146414,,2.1705833,0.64405806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21428136,0.33080931,0.34810873,0.54903996,0.86301004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0001,2.3798644,2.3798644,,1.9240753,0.45578911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25961444,0.36851109,0.56085907,0.50711155,0.90486515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.9999003e-05,2.8262281,2.8262281,,2.2616459,0.5645822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18814764,0.28521928,0.48642912,0.45292098,0.88212205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9.9996012e-05,2.4341293,2.4341293,,1.8237809,0.61034835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20801533,0.31202535,0.44351454,0.59792263,0.85240277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.9991028e-05,1.8715118,1.8715118,,1.5590404,0.31247138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15041051,0.19976503,0.60861026,0.19492871,0.93129236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.998405e-05,1.162595,1.162595,,0.88074459,0.28185044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37019343,0.50501248,0.46360541,0.7009385,0.88811755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.9975079e-05,0.85377366,0.85377366,,0.71066624,0.14310742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41000801,0.54136698,0.64054438,0.55584577,0.94360349,0.9026669,0.9026669,,0.77072044,0.13194646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48574306,0.62596642,0.65390017,0.66213666,0.94919109
